source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
Storage_2ng_01	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	cell	single cell	cellenONE	Storage_2ng_01	1	1	Storage_2ng_01	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Storage_2ng_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD049248/Storage_2ng_01.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
2ng_4x_02	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	cell	single cell	cellenONE	2ng_4x_02	1	2	2ng_4x_02	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2ng_4x_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD049248/2ng_4x_02.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
CH3-10ng_hela_22ms_RB1	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	cell	single cell	cellenONE	CH3-10ng_hela_22ms_RB1	1	3	CH3-10ng_hela_22ms_RB1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	CH3-10ng_hela_22ms_RB1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD049248/CH3-10ng_hela_22ms_RB1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
2ng_2x_01	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	cell	single cell	cellenONE	2ng_2x_01	1	4	2ng_2x_01	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2ng_2x_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD049248/2ng_2x_01.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Split_2ng_03	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	cell	single cell	cellenONE	Split_2ng_03	1	5	Split_2ng_03	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Split_2ng_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD049248/Split_2ng_03.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
CH2-10ng_hela_22ms_RB1	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	cell	single cell	cellenONE	CH2-10ng_hela_22ms_RB1	1	6	CH2-10ng_hela_22ms_RB1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	CH2-10ng_hela_22ms_RB1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD049248/CH2-10ng_hela_22ms_RB1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Split_2ng_01	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	cell	single cell	cellenONE	Split_2ng_01	1	7	Split_2ng_01	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Split_2ng_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD049248/Split_2ng_01.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Split_2ng_02	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	cell	single cell	cellenONE	Split_2ng_02	1	8	Split_2ng_02	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Split_2ng_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD049248/Split_2ng_02.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
CH1-10ng_hela_22ms_RA1	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	cell	single cell	cellenONE	CH1-10ng_hela_22ms_RA1	1	9	CH1-10ng_hela_22ms_RA1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	CH1-10ng_hela_22ms_RA1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD049248/CH1-10ng_hela_22ms_RA1.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Storage_2ng_02	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	cell	single cell	cellenONE	Storage_2ng_02	1	10	Storage_2ng_02	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Storage_2ng_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD049248/Storage_2ng_02.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
2ng_2x_02	Homo sapiens	Epithelial cell	Cervix carcinoma	Epithelial cell	cell	single cell	cellenONE	2ng_2x_02	1	11	2ng_2x_02	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	2ng_2x_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD049248/2ng_2x_02.raw	1	label free sample	not applicable	not applicable	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
