source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
scDecoy_raw	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	FACS	scDecoy_raw	1	1	scDecoy_raw	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	scDecoy_raw.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD038632/scDecoy_raw.zip	1	label free sample	not applicable	not applicable	NT=Bruker Daltonics timsTOF series;AC=MS:1003123	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
RefEx_raw	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	FACS	RefEx_raw	1	2	RefEx_raw	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	RefEx_raw.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD038632/RefEx_raw.zip	1	label free sample	not applicable	not applicable	NT=Bruker Daltonics timsTOF series;AC=MS:1003123	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_LysN_accuracy_raw	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	FACS	HeLa_LysN_accuracy_raw	1	3	HeLa_LysN_accuracy_raw	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	HeLa_LysN_accuracy_raw.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD038632/HeLa_LysN_accuracy_raw.zip	1	label free sample	not applicable	not applicable	NT=Bruker Daltonics timsTOF series;AC=MS:1003123	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
bulk_FDR_raw	Homo sapiens	Cell culture	not available	Cell culture	cell	bulk control	FACS	bulk_FDR_raw	not applicable	4	bulk_FDR_raw	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	bulk_FDR_raw.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD038632/bulk_FDR_raw.zip	1	label free sample	not applicable	not applicable	NT=Bruker Daltonics timsTOF series;AC=MS:1003123	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
scReference_raw	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	FACS	scReference_raw	1	5	scReference_raw	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	scReference_raw.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD038632/scReference_raw.zip	1	label free sample	not applicable	not applicable	NT=Bruker Daltonics timsTOF series;AC=MS:1003123	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Mixed_species_raw	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	FACS	Mixed_species_raw	1	6	Mixed_species_raw	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Mixed_species_raw.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD038632/Mixed_species_raw.zip	1	label free sample	not applicable	not applicable	NT=Bruker Daltonics timsTOF series;AC=MS:1003123	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
mDIA-DVP_raw	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	FACS	mDIA-DVP_raw	1	7	mDIA-DVP_raw	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	mDIA-DVP_raw.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD038632/mDIA-DVP_raw.zip	1	label free sample	not applicable	not applicable	NT=Bruker Daltonics timsTOF series;AC=MS:1003123	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
scBenchmark_raw	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	FACS	scBenchmark_raw	1	8	scBenchmark_raw	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	scBenchmark_raw.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD038632/scBenchmark_raw.zip	1	label free sample	not applicable	not applicable	NT=Bruker Daltonics timsTOF series;AC=MS:1003123	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Labeling_efficiency_raw	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	FACS	Labeling_efficiency_raw	1	9	Labeling_efficiency_raw	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	Labeling_efficiency_raw.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD038632/Labeling_efficiency_raw.zip	1	label free sample	not applicable	not applicable	NT=Bruker Daltonics timsTOF series;AC=MS:1003123	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
HeLa_Trypsin_raw	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	FACS	HeLa_Trypsin_raw	1	10	HeLa_Trypsin_raw	proteomic profiling by mass spectrometry	1	not available	NT=Data-independent acquisition;AC=PRIDE:0000628	HeLa_Trypsin_raw.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/08/PXD038632/HeLa_Trypsin_raw.zip	1	label free sample	not applicable	not applicable	NT=Bruker Daltonics timsTOF series;AC=MS:1003123	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
