source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[single cell isolation protocol]	characteristics[cell identifier]	characteristics[cells per well]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[sample preparation batch]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[carrier channel]	comment[reference channel]	comment[instrument]	comment[cleavage agent details]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
First-100HelaCell-1	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	not applicable	First-100HelaCell-1	1	1	First-100HelaCell-1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	First-100HelaCell-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD027135/First-100HelaCell-1.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
First-10HelaCell-1	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	not applicable	First-10HelaCell-1	1	2	First-10HelaCell-1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	First-10HelaCell-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD027135/First-10HelaCell-1.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
First-1000HelaCell-2	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	not applicable	First-1000HelaCell-2	1	3	First-1000HelaCell-2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	First-1000HelaCell-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD027135/First-1000HelaCell-2.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Second-10Hela-Cell-1	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	not applicable	Second-10Hela-Cell-1	1	4	Second-10Hela-Cell-1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Second-10Hela-Cell-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD027135/Second-10Hela-Cell-1.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Second-100Hela-Cell-1	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	not applicable	Second-100Hela-Cell-1	1	5	Second-100Hela-Cell-1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Second-100Hela-Cell-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD027135/Second-100Hela-Cell-1.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
First-100HelaCell-2	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	not applicable	First-100HelaCell-2	1	6	First-100HelaCell-2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	First-100HelaCell-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD027135/First-100HelaCell-2.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
First-10HelaCell-2	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	not applicable	First-10HelaCell-2	1	7	First-10HelaCell-2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	First-10HelaCell-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD027135/First-10HelaCell-2.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Second-10Hela-Cell-2	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	not applicable	Second-10Hela-Cell-2	1	8	Second-10Hela-Cell-2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Second-10Hela-Cell-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD027135/Second-10Hela-Cell-2.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
First-1000HelaCell-1	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	not applicable	First-1000HelaCell-1	1	9	First-1000HelaCell-1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	First-1000HelaCell-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD027135/First-1000HelaCell-1.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Second-1000Hela-Cell-2	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	not applicable	Second-1000Hela-Cell-2	1	10	Second-1000Hela-Cell-2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Second-1000Hela-Cell-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD027135/Second-1000Hela-Cell-2.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Second-1000Hela-Cell-1	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	not applicable	Second-1000Hela-Cell-1	1	11	Second-1000Hela-Cell-1	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Second-1000Hela-Cell-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD027135/Second-1000Hela-Cell-1.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
Second-100Hela-Cell-2	Homo sapiens	Cell culture	not available	Cell culture	cell	single cell	not applicable	Second-100Hela-Cell-2	1	12	Second-100Hela-Cell-2	proteomic profiling by mass spectrometry	1	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	Second-100Hela-Cell-2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/07/PXD027135/Second-100Hela-Cell-2.raw	1	label free sample	not applicable	not applicable	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=single-cell;VV=v1.0.0
